Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F39a	F40	F41	F42	F43	F44	F45	F45a	F46	F47	F47a	F47b	F47c	F47d	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G58a	G58b	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	TYPE
2004	0.0	0.0	395.40000000000015	333.56	55.5	8.18	773.4	112.9	331.0	340.0									254.0	98228.72	65775.2	9096.0	1264.0	261.0	54151.0	10086.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9119577.0	8085344.0	6489.0		62324.0	608210.0	287536.0	121660.0	47252.0	31899.0		2798.0	1790.0					264922.0	244872.0	112.0	921.0	8163.0	281.0	7241.0	2954.0	24311.0	388.0	1079.0			725844.0	34540.0	31736.0	80980.0	1320.0	492.0	204.0	236.0	13.0	0.0	0.0	878088.0	223321.0	443104.0	222.0	Réseaux de bibliothèques des universités
2005	0.0	0.0	391.08000000000015	324.56	56.44	9.5	758.5	106.5	337.0	315.0									257.0	90377.40000000001	64560.6	9269.0	1269.0	275.0	53972.0	9645.0	0.0	0.0	0.0	0.0	21629751.35	12291764.35	9180814.0	0.0	209577.0	1056471.0	10571994.07	1982026.7	10828740.0	609659.0	16400.0	676206.0	9175544.0	8300273.0	6450.0		63187.0	483718.0	157972.0	96058.0	67886.0	29191.0		3677.0	14915.0					261691.0	250762.0	167.0	1164.0	1430.0	368.0	5277.0	2525.0	61249.0	180.0	1620.0			725489.0	33985.0	48896.0	33110.0	4484.0	1023.0	155.0	662.0	2765.0	61460.0	0.0	1839987.0	237892.0	422250.0	220.0	Réseaux de bibliothèques des universités
2006	388308.0	2497915.0	400.4300000000001	314.61000000000007	51.69500000000002	11.079999999999998	839.0	108.0	294.0	318.0									216.5	76744.4	52262.0	8437.0	1223.0	201.0	47294.0	8445.95	3762686.0	1558457.0	442425.0	1689249.0	36271324.50000001	14901757.35	20041249.099999998	2981182.0	234920.0	1070090.5	14622552.51	2952803.6599999997	15564179.98	338123.0	96602.0	978853.811	8422325.0	6948395.0	4168.0		70224.0	485826.0	95131.0	88668.0	138267.0	51653.0		3467.0	3492.0					230955.0	205045.0	6.0	1168.0	5085.0	1050.0	7477.0	5682.0	41304.0	203.0	1162.0			607611.0	31205.0	24471.0	27731.0	2318.0	1055.0	40.0	545.0	678.0	5496.0	11235.0	1994744.0	185450.0	554648.0	186.0	Réseaux de bibliothèques des universités
2007	426654.0	2409028.0	414.7700000000001	277.14	61.72500000000002	11.2	843.0	118.0	312.0	298.0									235.0	79134.0	55290.0	8469.0	1260.0	201.0	46424.0	8224.0	4150861.0	1501145.0	728730.0	1848505.0	38510727.0	18461329.0	20049397.0	3518267.0	180563.0	1347597.0	15002969.0	2320787.0	13636034.0	335324.0	90500.0	1279675.0	9054472.0	8130718.0	3865.0		57064.0	487810.0	145678.0	90681.0	138656.0	46476.0		3786.0	10096.0					221682.0	212493.0	110.0	731.0	204.0	610.0	6486.0	1048.0	32206.0	223.0	1059.0			761075.0	54539.0	47016.0	24785.0	4320.0	784.0	10.0	506.0	3020.0	10046.0	10166.0	1745336.0	226403.0	572396.0	189.0	Réseaux de bibliothèques des universités
2008	110325.0	239464.0	169.00000000000006	140.21000000000004	23.42	0.6	375.0	29.0	133.0	191.0									142.0	39924.0	28725.5	4220.0	679.0	68.0	34887.0	5538.0	1680564.0	1053519.0	553821.0	1143450.0	12432814.5	5642884.0	6789930.5	1285647.0	185663.0	281221.0	5037399.52	730543.55	2793734.52	98600.0	68700.0	131895.0	5350222.0	5025894.0	1478.0		40448.0	166973.0	34013.0	45196.0	36220.0	17020.0		2302.0	4236.0					125303.0	119530.0	608.0	266.0	13.0	358.0	3598.0	930.0	14194.0	170.0	489.0			314719.0	35981.0	25881.0	11032.0	1320.0	333.0	0.0	305.0	682.0	3675.0	5866.0	291874.0	105337.0	190513.0	141.0	Réseaux de bibliothèques des universités
2009	79130.0	235669.0	197.25000000000006	150.61000000000007	35.69500000000001	6.33	406.0	44.0	152.0	189.0									138.0	42105.8	31548.25	4251.0	707.0	63.0	31833.0	5165.0	1680275.0	1035259.0	425420.0	1020303.0	11344718.0	4970928.0	6373790.0	581867.0	180903.0	211529.0	5399491.0	762362.0	2236778.0	57000.0	67200.0	114591.0	4832540.0	4427322.0	98757.0		41752.0	166881.0	35710.0	41573.0	20545.0	6301.0		5362.0	7067.0					105037.0	100218.0	5.0	229.0	4.0	467.0	3114.0	1000.0	36038.0	180.0	510.0			275830.0	17904.0	15420.0	9554.0	777.0	328.0	0.0	258.0	191.0	3372.0	5041.0	485433.0	122019.0	199258.0	133.0	Réseaux de bibliothèques des universités
2010	60610.0	126236.0	193.75	146.46999999999997	32.74	8.14	394.0	34.0	147.0	192.0									129.0	39783.39	29493.34	4038.0	643.0	75.0	25489.5	4331.0	1579437.0	1097967.0	459013.0	974778.0	11328182.3	4585232.0	6742950.3	376696.0	179093.0	184551.0	6002610.3	1042482.0	1194696.0	13000.0	64487.0	83115.0	4376354.0	4190814.0	1406.0		42013.0	45482.0	35822.0	33318.0	27499.0	8053.0		5280.0	8878.0					128462.0	122811.0	2.0	248.0	0.0	359.0	2799.0	2243.0	32175.0	184.0	494.0			262531.0	8297.0	9624.0	7162.0	804.0	266.0	0.0	356.0	182.0	3404.0	5182.0	548250.0	140200.0	186568.0	108.0	Réseaux de bibliothèques des universités
2011	59655.0	222655.0	189.2	146.02999999999997	33.07	7.52	385.0	34.0	153.0	181.0									131.0	39323.39	29041.34	3983.0	585.0	74.0	24136.0	4153.0	1748172.0	1164920.0	461491.0	998090.0	11352213.5	4549104.0	6803109.5	409849.1	164104.2	181398.1	6047758.1	870754.0	1523873.0	12291.0	28945.0	93338.0	4784425.0	4624070.0	1629.0		42716.0	35483.0	36101.0	36812.0	7614.0	11011.0		5005.0	9932.0					105817.0	100621.0	1.0	268.0	0.0	266.0	3893.0	768.0	33717.0	55.0	402.0			278387.0	8478.0	5183.0	8794.0	691.0	261.0	0.0	265.0	165.0	1845.0	5550.0	238731.0	164805.0	189743.0	101.0	Réseaux de bibliothèques des universités
2012	56926.0	319023.0	200.5	142.65999999999997	30.180000000000003	10.06	403.0	36.0	153.0	189.0									123.0	38218.0	28467.0	4017.0	541.0	77.0	22249.0	3881.0	1804580.0	1148359.0	516439.0	1059222.0	11202708.0	4552450.0	6650258.0	503664.0	171066.0	166418.0	5809110.0	1001776.0	1454455.0	2691.0	24801.0	100174.0	4637527.0	4455408.0	1655.0		44165.0	36013.0	36497.0	40515.0	23274.0	11685.0		5302.0	144386.0					103080.0	98212.0	8.0	241.0	0.0	574.0	3146.0	899.0	66577.0	76.0	493.0			263487.0	11845.0	12474.0	7798.0	721.0	262.0	0.0	242.0	217.0	1404.0	6414.0	151977.0	226283.0	205929.0	93.0	Réseaux de bibliothèques des universités
2013	47829.0	386310.0	194.80000000000004	135.41	30.850000000000005	8.23	393.0	35.0	131.0	176.0									124.0	40400.89	29621.59	3970.0	511.0	71.0	22004.0	3755.0	1784946.0	1135273.0	445280.0	1065817.0	11675504.399999999	4801988.0	6873516.399999999	536676.1	146347.2	156771.1	6033722.0	965041.0	1152793.0	1001.0	21076.0	105586.0	4434090.0	4278901.0	1708.0		37760.0	30034.0	36346.0	42116.0	7225.0	12586.0		5656.0	145851.0					100237.0	96834.0	51.0	551.0	0.0	84.0	2143.0	574.0	10952.0	73.0	559.0			289628.0	11471.0	12575.0	7718.0	797.0	311.0	0.0	219.0	267.0	1293.0	6005.0	233222.0	185005.0	173724.0	93.0	Réseaux de bibliothèques des universités
2014	45849.0	465076.0	169.07	134.37	26.110000000000003	7.29	350.0	32.0	120.0	174.0									111.0	40362.0	29646.0	4010.0	499.0	82.0	20949.0	3790.0	2055275.0	1051589.0	330796.0	1163826.0	14849529.0	6465325.0	8384204.0	560682.0	1061154.0	179491.0	6582877.0	1733567.0	2049059.0	1000.0	18910.0	136493.0	4677187.0	4497204.0	1890.0		40157.0	30036.0	37104.0	54446.0	16350.0	40608.0		5636.0	142368.0					122230.0	111911.0	1.0	438.0	0.0	95.0	9305.0	480.0	29192.0	86.0	536.0			383089.0	10379.0	11828.0	7243.0	1108.0	328.0	0.0	295.0	485.0	1288.0	5249.0	251539.0	252963.0	186195.0	88.0	Réseaux de bibliothèques des universités
2015	38580.0	452492.0	139.19999999999996	118.63999999999997	13.469999999999999	5.6899999999999995	331.0	29.0	117.0	185.0									110.0	40827.0	29872.0	4254.0	486.0		19875.0	3599.5	2033171.0	958585.0	325498.0	1212741.0	13627866.0	6249051.0	7378815.0	592420.0	1027479.0	191518.0	5567398.0	1329780.0	1883085.0	60.0	10000.0	156607.0	4558586.0	4395646.0	1917.0	2.0	34182.0	29044.0	34206.0	55742.0	7849.0	297795.0	218664.0			148.0	2830.0	3.0	136776.0	93091.0	88995.0	33.0	213.0	108.0	7.0	2710.0	1025.0	43263.0	76.0	544.0	454.0	4106.0	362412.0	11567.0	13021.0	6046.0	1024.0	319.0	1.0	293.0	411.0	1861.0	3996.0	182504.0			84.0	Réseaux de bibliothèques des universités
2016	36007.0	603832.0	137.27	115.55999999999999	11.160000000000002	7.3	332.0	27.0	117.0	188.0									104.0	41689.0	30456.0	4128.0	455.0		17851.0	3311.0	1689318.0	990671.0	264559.0	1100490.0	12252053.0	5148822.0	7103231.0	465569.0	754405.0	178313.0	5704944.0	1483364.0	2109898.0	60.0	10000.0	142226.0	4426068.0	4270355.0	383.0	3.0	35875.0	29022.0	33109.0	55003.0	2534.0	426393.0	408326.0			146.0	148398.0	3.0	35.0	94455.0	85493.0	0.0	260.0	100.0	701.0	6467.0	1429.0	47816.0	105.0	423.0	427.0	3643.0	343781.0	11739.0	14107.0	6004.0	926.0	15.0	3.0	242.0	5.0	803.0	3404.0	251897.0			74.0	Réseaux de bibliothèques des universités
2017	30869.0	418795.0	107.96	98.91999999999999	7.04	2.0	273.0	15.0	98.0	160.0									92.0	34567.0	25273.0	3221.0	429.0		15873.0	2892.0	1447890.0	1015011.0	308955.0	836017.0	7291966.0	2685085.0	4606881.0	134330.0	754405.0	25123.0	3693023.0	787044.0	1622552.0	60.0	4016.0	134960.0	3770246.0	3636386.0	745.0	0.0	32034.0	29036.0	32983.0	36622.0	2454.0	911.0	311.0			39.0	1017.0	20.0	0.0	68949.0	67469.0	0.0	62.0	0.0	4.0	646.0	412.0	54634.0	101.0	502.0	516.0	5087.0	289618.0	1305.0	1656.0	5054.0	1937.0	40.0	10.0	259.0	1628.0	250.0	2921.0	67979.0			67.0	Réseaux de bibliothèques des universités
2018	27782.0	449833.0	103.34999999999998	93.86999999999998	7.98	1.5	269.0	15.0	89.0	165.0									90.0	34129.0	25279.0	3234.0	400.0		14846.0	2617.0	1365121.0	956000.0	339282.0	511416.0	6804655.0	2540651.0	4264004.0	132865.0	475478.0	28081.0	3627580.0	932979.0	1536865.0	7000.0	4000.0	151170.0	3510127.0	3382447.0	732.0	0.0	22798.0	30031.0	33191.0	38360.0	2568.0	851.0	305.0			37.0	1266.0	23.0	50.0	97863.0	97196.0	0.0	72.0	3.0	1.0	502.0	89.0	24179.0	89.0	470.0	822.0	5131.0	295595.0	1249.0	1415.0	3264.0	1305.0	20.0	6.0	115.0	1134.0	696.0	2460.0	46349.0			64.0	Réseaux de bibliothèques des universités
2003	12353.0	0.0	25.015	24.270000000000003	0.75	0.0	52.0	5.0	22.0	25.0									13.0	3670.0	2811.0	398.0	75.0	14.0	2222.0	395.0	0.0	0.0	0.0	0.0	4260375.59	2286674.2	2003701.3900000001	0.0	602479.0	171504.0	1052751.0	55000.0	3397889.54	136500.0	0.0	71038.05	279411.0	230034.0	0.0		1327.0	500.0	1000.0	16352.0	548.0	16249.0		218.0	139.0					20457.0	15423.0	0.0	367.0	10.0	0.0	1699.0	124.0	1293.0	4.0	264.0			114372.0	576.0	9775.0	1140.0	10.0	0.0	5.0	5.0	0.0	0.0	4196.0	48241.0	450.0	0.0	11.0	Réseaux de bibliothèques des HES
2004	13360.0	0.0	33.27	31.02	2.25	0.0	63.0	9.0	25.0	29.0									14.0	3920.0	3001.0	342.0	75.0	14.0	2160.0	386.5	0.0	0.0	0.0	0.0	4967951.87	2754725.1	2213226.77	0.0	606218.65	214662.65	1239096.2	52897.0	3972073.77	105000.0	0.0	101712.1	310437.0	285368.0	0.0		1201.0	500.0	1020.0	20252.0	1096.0	19027.0		413.0	278.0					34256.0	21911.0	0.0	2.0	0.0	0.0	3591.0	433.0	1533.0	6.0	263.0			113791.0	877.0	7592.0	100.0	30.0	1.0	5.0	5.0	19.0	33.0	0.0	72097.0	12000.0	0.0	11.0	Réseaux de bibliothèques des HES
2005	48057.0	12423.0	118.79	89.81	5.427	2.5300000000000002	189.0	35.0	76.0	45.0									53.0	17261.6	12582.900000000001	1920.0	395.0	52.0	9430.0	1661.95	441270.0	36683.0	75594.0	90957.0	15555748.530000001	10776353.2	4718158.33	0.0	823714.21	382885.1	1918048.93	84900.0	8154583.58	100000.0	0.0	395823.18	965974.0	729225.0	2817.0		2505.0	5786.0	2220.0	42032.0	7336.0	26940.0		1147.0	1702.0					73629.0	68835.0	30.0	195.0	641.0	20.0	5134.0	274.0	7340.0	50.0	920.0			469508.0	7950.0	19874.0	1631.0	128.0	108.0	5.0	5.0	10.0	527.0	4060.0	179228.0	2277.0	85.0	42.0	Réseaux de bibliothèques des HES
